δέ	but	2668	52.84	198	52.63	219	51.96
ὁ	the	1431	28.34	85	22.59	114	27.05
καί	and	1388	27.49	113	30.03	125	29.66
τε	and	1282	25.39	73	19.40	114	27.05
ἐγώ	I (first person pronoun)	800	15.84	51	13.55	46	10.91
ὅς	who	577	11.42	62	16.48	37	8.78
εἰμί	to be	551	10.91	50	13.29	52	12.33
ἐν	in	493	9.76	43	11.43	47	11.15
μέν	on the one hand	487	9.64	28	7.44	29	6.88
ὡς	as	473	9.36	37	9.83	49	11.62
σύ	you (personal pronoun)	450	8.91	41	10.89	33	7.83
οὐ	not	437	8.65	26	6.91	43	10.20
ἄρα	particle: 'so'	415	8.22	42	11.16	57	13.52
ἀλλά	otherwise	374	7.40	31	8.24	26	6.16
τις	any one	372	7.36	27	7.17	38	9.01
ἐπί	on	352	6.97	22	5.84	18	4.27
γάρ	for	343	6.79	26	6.91	31	7.35
ἄν	modal particle	331	6.55	34	9.03	26	6.16
ναῦς	a ship	299	5.92	3	0.79	14	3.32
γε	at least	279	5.52	21	5.58	23	5.45
πᾶς	all	269	5.32	16	4.25	40	9.49
οὐδέ	and/but not; not even	269	5.32	19	5.05	22	5.22
ἀνήρ	a man	258	5.11	25	6.64	24	5.69
ἀτάρ	but	258	5.11	13	3.45	24	5.69
αὐτός	unemph. 3rd pers.pronoun; -self; [the] same 	252	4.99	18	4.78	24	5.69
δή	[interactional particle: S&H on same page]	240	4.75	16	4.25	21	4.98
κατά	down	234	4.63	18	4.78	20	4.74
εἰς	into	225	4.45	12	3.18	21	4.98
ἐκ	from out of	222	4.39	17	4.51	15	3.55
φημί	to say	222	4.39	18	4.78	19	4.50
θεός	god	219	4.33	19	5.05	30	7.11
ἔχω	to have	207	4.10	8	2.12	13	3.08
πολύς	much	205	4.06	19	5.05	23	5.45
ἄλλος	other	205	4.06	16	4.25	26	6.16
ἕ	NoDef	201	3.98	24	6.37	23	5.45
Ἀχαιός	Achaian	200	3.96	16	4.25	5	1.18
Ζεύς	Zeus	195	3.86	14	3.72	9	2.13
εἰ	conj. if	193	3.82	16	4.25	9	2.13
μέγας	big	192	3.80	17	4.51	12	2.84
ἔρχομαι	to come	189	3.74	11	2.92	15	3.55
ἐπεί	after	182	3.60	16	4.25	26	6.16
ἤ	either..or; than	172	3.40	12	3.18	21	4.98
θυμός	the soul	168	3.32	15	3.98	14	3.32
ἔνθα	there	167	3.30	15	3.98	4	0.94
μιν	him	166	3.28	17	4.51	17	4.03
υἱός	a son	165	3.26	15	3.98	5	1.18
Τρώς	Tros	164	3.24	19	5.05	5	1.18
ἑταῖρος	a comrade	163	3.22	1	0.26	5	1.18
φίλος	friend; loved	162	3.20	11	2.92	15	3.55
χείρ	the hand	151	2.99	15	3.98	15	3.55
εἶδον	to see	147	2.91	7	1.86	14	3.32
ἠδέ	and	143	2.83	10	2.65	19	4.50
παρά	from the side of	136	2.69	7	1.86	10	2.37
ἔπος	a word	132	2.61	6	1.59	17	4.03
ἔπειτα	then	130	2.57	15	3.98	8	1.89
εἶμι	come	123	2.43	7	1.86	14	3.32
πέρ	NoDef	123	2.43	10	2.65	13	3.08
νῦν	now at this very time	118	2.33	9	2.39	11	2.61
ὑπό	from under	117	2.31	8	2.12	6	1.42
ὅτε	when	115	2.27	13	3.45	4	0.94
ὅδε	this	115	2.27	12	3.18	11	2.61
μή	not	114	2.25	9	2.39	4	0.94
βάλλω	to throw	114	2.25	3	0.79	4	0.94
κακός	bad	113	2.23	7	1.86	9	2.13
ἵστημι	to make to stand	112	2.21	6	1.59	11	2.61
εἶπον	to speak	111	2.19	13	3.45	18	4.27
μετά	(w gen) with	108	2.13	5	1.32	13	3.08
Ὀδυσσεύς	Odysseus	108	2.13	1	0.26	23	5.45
δίδωμι	to give	107	2.11	7	1.86	12	2.84
βαίνω	to walk	107	2.11	11	2.92	14	3.32
αἱρέω	to take	107	2.11	5	1.32	10	2.37
τότε	at that time	103	2.04	3	0.79	8	1.89
ἀμφί	on both sides	102	2.02	5	1.32	13	3.08
ἀπό	from	101	2.00	4	1.06	8	1.89
μάλα	very	101	2.00	6	1.59	9	2.13
ὄφρα	in order that; as long as	99	1.96	10	2.65	12	2.84
ἦ	in truth	96	1.90	5	1.32	3	0.71
φέρω	to bear	95	1.88	9	2.39	12	2.84
ἵππος	a horse	92	1.82	5	1.32	3	0.71
πρός	(w. gen.) from; (w. dat.) at	92	1.82	13	3.45	12	2.84
αὖτε	again	92	1.82	7	1.86	7	1.66
λαός	the people	91	1.80	6	1.59	5	1.18
ἐμός	mine	90	1.78	7	1.86	6	1.42
πατήρ	a father	87	1.72	12	3.18	8	1.89
δῖος	god-like	85	1.68	7	1.86	5	1.18
Ἀθήνη	Athena	83	1.64	14	3.72	5	1.18
γίγνομαι	become	82	1.62	8	2.12	8	1.89
ἅμα	at once	82	1.62	5	1.32	5	1.18
παῖς	a child	80	1.58	17	4.51	6	1.42
τίθημι	to set	79	1.56	9	2.39	16	3.79
περί	around	79	1.56	4	1.06	5	1.18
ποτέ	NoDef	78	1.54	9	2.39	7	1.66
οἶδα	to know	78	1.54	6	1.59	9	2.13
ἱκνέομαι	to come	77	1.52	5	1.32	10	2.37
μάχομαι	to fight	76	1.50	10	2.65	1	0.23
πόλεμος	battle	76	1.50	9	2.39	2	0.47
Ἄρης	Ares	76	1.50	1	0.26	10	2.37
γαῖα	a land	74	1.46	3	0.79	5	1.18
σφεῖς	personal and (ind.) reflexive pronoun	72	1.42	2	0.53	11	2.61
δῶμα	a house	72	1.42	4	1.06	11	2.61
οὗτος	this; that	72	1.42	4	1.06	14	3.32
ἔτι	yet	71	1.40	6	1.59	4	0.94
καλός	beautiful	71	1.40	6	1.59	13	3.08
φρήν	the midriff; heart	70	1.38	7	1.86	10	2.37
ἄγω	to lead	70	1.38	3	0.79	4	0.94
πρῶτος	first	69	1.36	6	1.59	6	1.42
Ἀτρείδης	son of Atreus	68	1.34	3	0.79	0	1.42
πόλις	a city	67	1.32	11	2.92	7	1.66
Ἀγαμέμνων	Agamemnon	67	1.32	3	0.79	1	0.23
ἑός	his	67	1.32	6	1.59	5	1.18
ἄναξ	a lord	66	1.30	4	1.06	5	1.18
ἀνά	up	66	1.30	3	0.79	7	1.66
μῦθος	anything	66	1.30	2	0.53	5	1.18
ἄριστος	best	66	1.30	8	2.12	12	2.84
ὅσος	as much/many as	66	1.30	1	0.26	12	2.84
σύν	along with	65	1.28	5	1.32	2	0.47
ἕκαστος	every	65	1.28	1	0.26	6	1.42
ἐθέλω	to will	64	1.26	7	1.86	5	1.18
αὐτίκα	forthwith	64	1.26	3	0.79	3	0.71
κελεύω	to urge	64	1.26	4	1.06	9	2.13
διά	through c. gen.; because of c. acc.	63	1.24	1	0.26	2	0.47
θεά	a goddess	62	1.22	2	0.53	1	0.23
ἔργον	work	61	1.20	6	1.59	3	0.71
μέλας	black	61	1.20	0	0	4	0.94
εὖ	well	60	1.18	6	1.59	6	1.42
ἀεί	always	59	1.16	2	0.53	6	1.42
γυνή	a woman	59	1.16	9	2.39	2	0.47
Ἀργεῖος	of/from Argos	58	1.14	4	1.06	3	0.71
ἀμείβω	change	58	1.14	3	0.79	4	0.94
Μενέλαος	Menelaos	58	1.14	3	0.79	1	0.23
ἀθάνατος	undying	58	1.14	4	1.06	6	1.42
κρατερός	strong	57	1.12	5	1.32	2	0.47
πείθω	to prevail upon	56	1.10	6	1.59	1	0.23
σός	your	56	1.10	6	1.59	5	1.18
ἄγε	come! come on! well!	56	1.10	4	1.06	10	2.37
ἕπομαι	follow	55	1.08	0	0	3	0.71
ὄρνυμι	to stir	54	1.06	1	0.26	7	1.66
ὦ	O! oh!	54	1.06	4	1.06	1	0.23
